itc_id,full_name,type,target_date,status,rejection_category,comment
2d128205-29f9-431d-850a-e972a72bd9dc,Inductive Automation Ignition 8.0.x,END_OF_LIFE_DATE,2022-04-11,ACCEPTED,,"The link shows the EOL, but the suggested date is not correct."
811d79d6-f997-48bc-84e0-002a7b2c57df,IBM QRadar SaaS Hosting,END_OF_LIFE_DATE,2025-04-14,ACCEPTED,,
c48d5df1-3bbd-466b-945e-6b46c4b8e491,Brightcove Video Cloud SaaS Hosting,ACTIVE_DATE,2006-01-01,ACCEPTED,,
a6103652-89fd-4751-9053-d82abce4cfa9,Apache Software Foundation Airflow 2.0.x,END_OF_LIFE_DATE,2025-10-22,ACCEPTED,,"The date is not correct, but the link was helpful and considered here. The suggested date would fit better a ""phase-out"" rather than EOL."
436f50dd-a486-409f-90b8-af82a313f11b,Microsoft OpenJDK 17.x,END_OF_LIFE_DATE,2027-09-30,ACCEPTED,,
b8fb6794-ae98-4027-a684-7ab64009cac5,Azure Relay,ACTIVE_DATE,2010-01-01,ACCEPTED,,"The date is correct, but we were able to found an official link."
5e62e0e4-3ed4-4bfd-b84f-2ed63b383c42,Azure Text to Speech SaaS Hosting,ACTIVE_DATE,2018-05-07,ACCEPTED,,The date could be found on other link. The suggested link has no dates in it.
00357122-36fd-4793-908e-b972a1cc2590,Esker on Demand SaaS Hosting,ACTIVE_DATE,2005-01-01,ACCEPTED,,
a2675d4e-fcac-4565-b0ec-01d77c2fc597,Microsoft SQL Server Reporting Services 2005,END_OF_LIFE_DATE,2016-04-12,ACCEPTED,,
153e4c65-a52a-4d1c-baf8-b8257934096d,SAP NetWeaver Business Client 7.70,END_OF_LIFE_DATE,2024-04-09,ACCEPTED,,The date is correct. The URL is unofficial and was not considered.
ff9cf394-056f-4082-a2aa-e65d0a19845a,Siemens TIA Portal 17.x,END_OF_LIFE_DATE,2025-01-31,ACCEPTED,,
ff9cf394-056f-4082-a2aa-e65d0a19845a,Siemens TIA Portal 17.x,ACTIVE_DATE,2021-05-28,ACCEPTED,,
cae038d0-f9e7-47a6-9426-a56764c4954d,Oracle VirtualBox 7.0.x,END_OF_LIFE_DATE,2025-03-31,ACCEPTED,,"The date is correct, but the source is unreliable. We found the official link to the EOL."
0b1e9d83-6a6d-4ede-bae3-43f71430ff57,Microsoft Dynamics 365 Customer Voice SaaS Hosting,ACTIVE_DATE,2020-07-21,ACCEPTED,,"The date almost correct (per a few days only), but I have found an official link."
97e480f0-e0a8-4728-ba21-287f96ffa632,Microsoft Office Proofing Tools 2013,END_OF_LIFE_DATE,2023-04-11,ACCEPTED,,"The URL is correct, but the suggested date is the extended support, not the standard EOL."
43cc6d67-2e65-4b1e-bb60-70b3beea067d,Google Data Studio Software 1.0,ACTIVE_DATE,2016-05-25,ACCEPTED,,"The date is correct, but the date is not available on the suggested link. It could be found on another official URL."
98882798-5369-495f-8b37-6e258dc92884,Informatica Platform 10.5.x,END_OF_LIFE_DATE,2026-03-31,ACCEPTED,,
12e3c7ff-c38b-45b3-bd48-b1e1130a6531,Microsoft WCF Data Services 5.0,ACTIVE_DATE,2012-04-09,ACCEPTED,,
9dcac49d-8f60-44e6-8e2d-e595805f5e76,NetApp FAS 8300,ACTIVE_DATE,2019-10-29,ACCEPTED,,"The date is correct, but the link is from a third party source. We were able to find an official source for this."
a1815743-6fb1-4865-ae7a-08e9d5331381,Veeva Systems CRM SaaS Hosting,ACTIVE_DATE,2007-01-01,ACCEPTED,,
a4149461-cc76-416d-9b7e-e2494692859d,Mozilla Foundation Firefox 121.x,END_OF_LIFE_DATE,2024-01-23,ACCEPTED,,"Date is correct, but the link is unreliable. We found an official link for it."
5e99d852-3752-4fc2-9928-791d9d48d102,Cisco Systems Umbrella Roaming Client SaaS Hosting,END_OF_LIFE_DATE,2025-04-02,ACCEPTED,,
83c95ce1-bc3c-432e-8d0c-d5214761dae8,Microsoft Windows Presentation Foundation 4.0,END_OF_LIFE_DATE,2016-01-12,ACCEPTED,,"Date is correct, but the source is not reliable and hence updated it."
83c95ce1-bc3c-432e-8d0c-d5214761dae8,Microsoft Windows Presentation Foundation 4.0,ACTIVE_DATE,2010-04-12,ACCEPTED,,
95e7c5a4-949f-4246-adba-9f637f6394e9,Autodesk Revit 2024.x,END_OF_LIFE_DATE,2027-03-29,ACCEPTED,,"The date is correct, but the source link is from a third party. We found the official announcement."
ced142bf-b790-43f8-8ae5-b2f5c12c92a7,Microsoft SharePoint Online Management Shell 16.0,ACTIVE_DATE,2017-02-01,ACCEPTED,,
5de2eb2f-575e-49bf-93c4-43263d9e8dd2,SAP OData Provisioning Neo SaaS Hosting,END_OF_LIFE_DATE,2028-12-31,ACCEPTED,,"The date is correct, but I have found an official source link."
50793f11-356f-4b00-a84e-b4b3d188b937,Varonis Systems DatAdvantage SaaS Hosting,ACTIVE_DATE,2021-05-26,ACCEPTED,,"Correct announcement link, but the date is not available/not right."
2dea0c1f-86fd-44ff-b507-2c99781215e5,Azure Active Directory B2B SaaS Hosting,END_OF_LIFE_DATE,2030-05-31,ACCEPTED,,
6ca4bd64-8011-4161-bc41-3dda8b0c2dcd,HubSpot Sales SaaS Hosting,ACTIVE_DATE,2010-06-09,ACCEPTED,,"The link is useful, but the date is incorrect on the year."
8c149d8d-58bc-438e-a1b8-d95b42466bf8,IBM z/OS 2.5.x,END_OF_LIFE_DATE,2026-09-30,ACCEPTED,,
d9e6080e-65c0-4a63-b6ab-aca82f248df9,Beckhoff Automation TwinCAT 3.1,ACTIVE_DATE,2013-06-14,ACCEPTED,,
c0959bc9-2826-4f02-952d-b675e24f79cf,Airship Group SaaS Hosting,ACTIVE_DATE,2022-04-07,ACCEPTED,,
287237bb-87e4-4c49-a9db-e376c1e00723,AWS Pinpoint,END_OF_LIFE_DATE,2026-10-30,ACCEPTED,,
36883b97-b4f4-4a0e-b52e-23494d6aba1e,McAfee ePolicy Orchestrator 5.10.x,END_OF_LIFE_DATE,2025-04-07,ACCEPTED,,
ddd2f146-c1ac-4c0e-8d70-92d1714456fc,OpenJS Foundation Express.js,ACTIVE_DATE,2010-11-16,ACCEPTED,,
38efb96d-e904-4032-bdcc-ca3f5fd65429,Cisco Systems UCS B-Series Blade Server B200 M6,END_OF_LIFE_DATE,2030-12-31,ACCEPTED,,
876221aa-d161-43e7-b6f2-e69b1333cd72,Citrix Systems Virtual Apps and Desktops 7 2203,END_OF_LIFE_DATE,2027-03-23,ACCEPTED,,
ea579bf5-d867-4301-bd4d-f764dffd9c6e,HashiCorp Terraform 1.7.x,END_OF_LIFE_DATE,2026-01-31,ACCEPTED,,
9ce2aa10-c460-4f8a-875c-5ffb8829eed0,Akeneo PIM SaaS Hosting,ACTIVE_DATE,2017-09-01,ACCEPTED,,
e0c7fa32-b6da-42c3-92b7-dab55439d23a,Kronos Workforce Central Suite SaaS Hosting,END_OF_LIFE_DATE,2025-12-31,ACCEPTED,,
1d4567f7-71e7-404e-af7b-4058c5aa1206,Azure Data Lake Storage Gen1,END_OF_LIFE_DATE,2024-02-29,ACCEPTED,,
1d4567f7-71e7-404e-af7b-4058c5aa1206,Azure Data Lake Storage Gen1,ACTIVE_DATE,2016-01-26,ACCEPTED,,
d07193c8-bbd6-4995-90bf-d01695fe9e9e,Elasticsearch,ACTIVE_DATE,2010-02-08,ACCEPTED,,
aad60553-043d-4d86-abe5-6ab383f6123c,Hewlett Packard Enterprise ProLiant Server DL360p G8,END_OF_LIFE_DATE,2021-06-13,ACCEPTED,,
cb5399e2-ef71-4905-b34d-2e93d8989019,FastTrack Software Admin By Request SaaS Hosting,ACTIVE_DATE,2020-05-20,ACCEPTED,,
9140835e-fba7-41ef-96e8-92e9534a4a49,Microsoft Visual Basic for Applications 6.0,END_OF_LIFE_DATE,2008-04-08,ACCEPTED,,
9140835e-fba7-41ef-96e8-92e9534a4a49,Microsoft Visual Basic for Applications 6.0,ACTIVE_DATE,1999-04-28,ACCEPTED,,
ae0ec433-a629-4b2e-99b1-4c2b9301642c,Cisco Systems Unified Communications Manager 14.0,END_OF_LIFE_DATE,2027-04-30,ACCEPTED,,
2b56b17a-5cd8-40b1-b35f-6b156af1dca0,Cisco Systems Umbrella SaaS Hosting,ACTIVE_DATE,2017-02-09,ACCEPTED,,
d81f6f35-cfca-4e25-ac53-5784545b482a,Microsoft .NET Framework 2.0 SP2,END_OF_LIFE_DATE,2011-07-12,ACCEPTED,,
64e79ddd-74e7-4970-bd57-c2a9885fa487,IBM HTTP Server 8.5.x,END_OF_LIFE_DATE,2025-09-30,ACCEPTED,,
79c3b3ac-a4eb-4ef5-ab3a-eff113750191,Microsoft Visual Studio Tools for Applications 2017,END_OF_LIFE_DATE,2027-04-13,ACCEPTED,,
79c3b3ac-a4eb-4ef5-ab3a-eff113750191,Microsoft Visual Studio Tools for Applications 2017,ACTIVE_DATE,2017-03-07,ACCEPTED,,
eb97f984-936a-48fc-9146-8b0a79e8bad2,Microsoft OpenJDK 11.x,END_OF_LIFE_DATE,2027-09-30,ACCEPTED,,
0f4a00f1-63c2-47a9-8542-55afb350a145,Trimble SketchUp SaaS Hosting,ACTIVE_DATE,2000-08-01,ACCEPTED,,
6ec95459-7620-474e-92e0-962445001e53,AWS Lex 1,END_OF_LIFE_DATE,2025-09-15,ACCEPTED,,
3f02d132-9947-474e-a815-fd41de2f29e8,BeyondTrust Remote Support SaaS Hosting,ACTIVE_DATE,2017-01-01,ACCEPTED,,
94b83a1e-1397-4f13-a447-036439557cc4,Meta React,ACTIVE_DATE,2013-05-29,ACCEPTED,,"The date is correct, but I found the official release date from the provider instead of wikipedia."
4b278bb9-ed95-4b69-9b66-066a40a48c2d,AWS Lake Formation,END_OF_LIFE_DATE,2024-12-31,ACCEPTED,,
